Player,Agents,Kills,Deaths,Assists,Average Damage Per Round,Assists Per Round,Kills Per Round,First Kills,First Deaths,simple_score
d4v41,vyse,44,54,23,127.0,0.3,0.58,3,8,1.3499999999999999
something,yoru,68,48,14,155.0,0.18,0.89,13,13,1.32
Ethan,fade,8,11,7,97.0,0.37,0.42,3,0,1.76
Ethan,omen,7,5,7,85.0,0.5,0.5,0,2,1.6500000000000001
Ethan,"fade, omen",15,16,14,92.0,0.42,0.45,3,2,1.59
skuba,killjoy,4,4,3,61.0,0.21,0.29,0,1,1.0099999999999998
skuba,viper,17,9,8,133.0,0.42,0.89,2,3,2.34
skuba,"killjoy, viper",21,13,11,102.0,0.33,0.64,2,4,1.5899999999999999
mada,neon,15,6,2,164.0,0.14,1.07,3,1,2.7499999999999996
mada,raze,19,11,4,177.0,0.21,1.0,3,0,2.98
mada,"neon, raze",34,17,6,171.0,0.18,1.03,6,1,2.82
s0m,omen,14,10,11,120.0,0.58,0.74,1,1,2.4199999999999995
s0m,viper,15,11,5,223.0,0.36,1.07,3,3,3.3600000000000003
s0m,"omen, viper",29,21,16,163.0,0.48,0.88,4,4,2.59
brawk,sova,18,1,8,198.0,0.57,1.29,1,0,3.84
brawk,vyse,17,12,3,161.0,0.16,0.89,3,3,2.3600000000000003
brawk,"sova, vyse",35,13,11,177.0,0.33,1.06,4,3,2.8600000000000003
xenom,astra,16,15,16,90.0,0.53,0.53,2,1,1.8599999999999999
xenom,omen,22,26,35,78.0,0.74,0.47,1,0,1.99
xenom,"astra, omen",38,41,51,83.0,0.66,0.49,3,1,1.88
cortezia,cypher,25,17,2,164.0,0.07,0.83,4,1,2.44
cortezia,killjoy,15,5,4,147.0,0.24,0.88,3,0,2.59
cortezia,viper,15,19,7,102.0,0.23,0.5,6,2,1.55
cortezia,"cypher, killjoy, viper",55,41,13,136.0,0.17,0.71,13,3,1.9400000000000002
aspas,jett,32,15,2,175.0,0.07,1.07,6,3,2.59
aspas,neon,23,8,1,172.0,0.06,1.35,6,0,3.13
aspas,waylay,25,19,3,129.0,0.1,0.83,3,4,1.8199999999999998
aspas,"jett, neon, waylay",80,42,6,156.0,0.08,1.04,15,7,1.98
artzin,kayo,33,40,24,98.0,0.4,0.55,5,12,0.73
artzin,viper,16,10,6,159.0,0.35,0.94,0,1,2.78
artzin,"kayo, viper",49,50,30,112.0,0.39,0.64,5,13,0.8500000000000003
Verno,sova,47,43,26,126.0,0.34,0.61,13,3,1.91
Boaster,astra,9,14,6,103.0,0.26,0.39,1,0,1.6800000000000002
Boaster,omen,22,23,18,107.0,0.46,0.56,1,3,1.7899999999999998
Boaster,"astra, omen",31,37,24,105.0,0.39,0.5,2,3,1.64
crashies,fade,23,30,14,93.0,0.31,0.51,2,4,1.35
crashies,sova,12,7,0,117.0,0.0,0.71,1,2,1.68
crashies,"fade, sova",35,37,14,99.0,0.23,0.56,3,6,1.18
doma,killjoy,23,26,9,121.0,0.23,0.59,4,4,1.63
doma,tejo,13,14,4,118.0,0.17,0.57,1,0,1.92
doma,"killjoy, tejo",36,40,13,120.0,0.21,0.58,5,4,1.5899999999999999
kaajak,raze,19,18,8,153.0,0.36,0.86,5,6,2.15
kaajak,yoru,50,26,11,219.0,0.28,1.25,12,1,3.6199999999999997
kaajak,"raze, yoru",69,44,19,195.0,0.31,1.11,17,7,2.67
Chronicle,viper,59,41,14,175.0,0.23,0.95,7,8,2.13
f0rsakeN,brimstone,17,15,8,152.0,0.35,0.74,0,1,2.51
f0rsakeN,omen,15,18,7,137.0,0.32,0.68,4,0,2.37
f0rsakeN,waylay,12,16,3,127.0,0.18,0.71,2,5,1.6600000000000001
f0rsakeN,"brimstone, omen, waylay",44,49,18,140.0,0.29,0.71,6,6,1.7999999999999998
PatMen,fade,33,45,12,108.0,0.19,0.53,3,3,1.5
Jinggg,omen,9,13,2,93.0,0.12,0.53,0,0,1.58
Jinggg,raze,32,35,14,152.0,0.31,0.71,5,7,1.8399999999999999
Jinggg,"omen, raze",41,48,16,136.0,0.26,0.66,5,7,1.58
d4v41,viper,18,12,3,127.0,0.13,0.78,1,3,1.8800000000000001
d4v41,vyse,28,29,6,116.0,0.15,0.72,2,3,1.7299999999999998
d4v41,"viper, vyse",46,41,9,120.0,0.15,0.74,3,6,1.4899999999999998
something,yoru,35,47,9,114.0,0.15,0.56,11,12,0.6499999999999999
s0m,harbor,18,23,5,101.0,0.17,0.6,2,3,1.48
s0m,omen,22,18,8,136.0,0.27,0.73,2,2,2.16
s0m,viper,11,15,0,121.0,0.0,0.65,1,6,1.2599999999999998
s0m,"harbor, omen, viper",51,56,13,119.0,0.17,0.66,5,11,0.9199999999999999
Ethan,kayo,18,19,17,126.0,0.57,0.6,2,4,2.03
Ethan,omen,20,36,14,96.0,0.3,0.43,4,6,1.0899999999999999
Ethan,"kayo, omen",38,55,31,108.0,0.4,0.49,6,10,0.9700000000000002
skuba,killjoy,8,15,1,102.0,0.06,0.47,0,2,1.35
skuba,viper,20,16,7,134.0,0.23,0.67,0,2,2.04
skuba,vyse,12,23,12,98.0,0.4,0.4,2,1,1.68
skuba,"killjoy, viper, vyse",40,54,20,113.0,0.26,0.52,2,5,1.41
mada,neon,6,15,3,75.0,0.18,0.35,0,4,0.88
mada,waylay,18,21,3,114.0,0.1,0.6,7,7,1.1399999999999997
mada,yoru,20,19,7,114.0,0.23,0.67,3,5,1.54
mada,"neon, waylay, yoru",44,55,13,106.0,0.17,0.57,10,16,0.19999999999999996
brawk,sova,44,54,27,131.0,0.35,0.57,4,7,1.5299999999999998
Boaster,astra,3,13,5,58.0,0.28,0.17,1,1,0.93
Boaster,omen,18,16,14,119.0,0.54,0.69,1,3,2.12
Boaster,"astra, omen",21,29,19,94.0,0.43,0.48,2,4,1.4499999999999997
Chronicle,breach,11,14,3,120.0,0.17,0.61,2,0,1.98
Chronicle,vyse,18,16,5,120.0,0.19,0.69,4,0,2.08
Chronicle,"breach, vyse",29,30,8,120.0,0.18,0.66,6,0,2.04
Alfajer,cypher,9,15,0,89.0,0.0,0.5,1,1,1.29
Alfajer,sage,15,21,12,110.0,0.46,0.58,5,2,1.9400000000000002
Alfajer,"cypher, sage",24,36,12,102.0,0.27,0.55,6,3,1.54
crashies,sova,26,33,11,121.0,0.25,0.59,4,3,1.7499999999999998
kaajak,waylay,10,14,1,104.0,0.06,0.56,4,2,1.4600000000000002
kaajak,yoru,23,22,5,160.0,0.19,0.88,5,5,2.17
kaajak,"waylay, yoru",33,36,6,137.0,0.14,0.75,9,7,1.56
s0m,harbor,14,11,6,144.0,0.33,0.78,1,2,2.3499999999999996
s0m,omen,19,17,10,136.0,0.38,0.73,1,0,2.4699999999999998
s0m,"harbor, omen",33,28,16,139.0,0.36,0.75,2,2,2.3
mada,jett,15,20,2,118.0,0.08,0.58,4,12,0.6399999999999997
mada,yoru,16,11,2,158.0,0.11,0.89,3,2,2.38
mada,"jett, yoru",31,31,4,135.0,0.09,0.7,7,14,0.74
Ethan,kayo,15,18,13,105.0,0.5,0.58,3,3,1.8299999999999998
Ethan,omen,11,10,5,114.0,0.28,0.61,2,3,1.7299999999999998
Ethan,"kayo, omen",26,28,18,109.0,0.41,0.59,5,6,1.4899999999999998
brawk,sova,34,27,13,145.0,0.3,0.77,1,2,2.32
skuba,vyse,39,22,10,151.0,0.23,0.89,2,3,2.33
Boaster,astra,17,32,14,82.0,0.32,0.39,3,4,1.13
Boaster,omen,21,41,25,84.0,0.43,0.36,1,2,1.43
Boaster,"astra, omen",38,73,39,83.0,0.38,0.37,4,6,0.98
Chronicle,breach,17,19,8,117.0,0.29,0.61,2,1,1.9699999999999998
Chronicle,cypher,13,15,5,131.0,0.28,0.72,1,3,2.01
Chronicle,viper,18,27,8,105.0,0.23,0.51,2,3,1.49
Chronicle,vyse,18,16,7,137.0,0.33,0.86,0,2,2.36
Chronicle,"breach, cypher, viper, vyse",66,77,28,119.0,0.27,0.65,5,9,1.21
Alfajer,cypher,14,17,5,87.0,0.18,0.5,3,2,1.3499999999999999
Alfajer,killjoy,11,13,1,117.0,0.05,0.58,1,1,1.6999999999999997
Alfajer,neon,16,15,5,160.0,0.28,0.89,3,4,2.37
Alfajer,sage,23,14,4,200.0,0.19,1.1,5,1,3.19
Alfajer,vyse,8,16,2,102.0,0.13,0.5,1,2,1.45
Alfajer,"cypher, killjoy, neon, sage, vyse",72,75,17,131.0,0.17,0.71,13,10,1.19
crashies,fade,23,43,19,96.0,0.36,0.43,2,9,0.85
crashies,sova,36,31,17,138.0,0.35,0.73,4,5,1.96
crashies,"fade, sova",59,74,36,116.0,0.35,0.58,6,14,0.6899999999999997
kaajak,raze,21,15,4,198.0,0.21,1.11,6,4,2.9
kaajak,waylay,24,19,4,160.0,0.14,0.86,7,4,2.2
kaajak,yoru,45,41,6,140.0,0.11,0.82,10,4,1.9300000000000002
kaajak,"raze, waylay, yoru",90,75,14,156.0,0.14,0.88,23,12,1.38
Ethan,breach,23,12,9,223.0,0.5,1.28,2,2,3.8099999999999996
Ethan,fade,13,12,4,93.0,0.21,0.68,0,0,1.82
Ethan,kayo,24,22,12,107.0,0.32,0.65,2,5,1.54
Ethan,omen,17,16,10,118.0,0.36,0.61,1,2,1.95
Ethan,"breach, fade, kayo, omen",77,62,35,128.0,0.34,0.75,5,9,1.4700000000000002
skuba,cypher,15,9,2,140.0,0.11,0.83,3,0,2.34
skuba,viper,23,17,8,109.0,0.23,0.66,1,3,1.68
skuba,vyse,38,34,6,126.0,0.12,0.78,5,3,1.86
skuba,"cypher, viper, vyse",76,60,16,122.0,0.16,0.75,9,6,1.5299999999999998
s0m,harbor,13,22,5,87.0,0.18,0.46,0,6,0.9099999999999999
s0m,omen,50,51,32,118.0,0.43,0.68,9,6,1.69
s0m,"harbor, omen",63,73,37,109.0,0.36,0.62,9,12,0.8700000000000001
mada,jett,10,14,4,94.0,0.19,0.48,1,4,1.21
mada,neon,12,14,5,126.0,0.28,0.67,4,3,1.91
mada,raze,20,13,4,170.0,0.21,1.05,5,4,2.56
mada,waylay,17,10,6,168.0,0.38,1.06,6,3,2.8200000000000003
mada,yoru,15,18,3,112.0,0.11,0.54,5,5,1.27
mada,"jett, neon, raze, waylay, yoru",74,69,22,130.0,0.22,0.73,21,19,0.34999999999999987
brawk,sova,70,48,32,159.0,0.39,0.84,6,3,2.5200000000000005
brawk,vyse,14,13,8,117.0,0.42,0.74,1,2,2.13
brawk,"sova, vyse",84,61,40,151.0,0.39,0.82,7,5,2.2199999999999998
grubinho,astra,16,16,13,126.0,0.59,0.73,3,2,2.38
grubinho,omen,15,22,15,80.0,0.45,0.45,2,5,1.2000000000000002
grubinho,"astra, omen",31,38,28,99.0,0.51,0.56,5,7,1.3599999999999999
westside,cypher,26,22,7,120.0,0.21,0.79,2,4,1.8000000000000003
westside,deadlock,20,15,7,139.0,0.32,0.91,2,2,2.42
westside,"cypher, deadlock",46,37,14,128.0,0.25,0.84,4,6,1.77
Cloud,fade,14,7,5,144.0,0.31,0.88,2,1,2.53
Cloud,gekko,18,13,9,142.0,0.41,0.82,1,1,2.55
Cloud,sova,8,14,4,98.0,0.24,0.47,3,0,1.69
Cloud,"fade, gekko, sova",40,34,18,129.0,0.33,0.73,6,2,2.15
ara,jett,10,14,4,137.0,0.24,0.59,1,4,1.8000000000000003
ara,raze,24,28,11,138.0,0.29,0.63,9,4,1.9
ara,"jett, raze",34,42,15,138.0,0.27,0.62,10,8,1.47
Flickless,kayo,13,15,8,117.0,0.47,0.76,1,1,2.3
Flickless,viper,30,22,19,156.0,0.5,0.79,4,1,2.75
Flickless,"kayo, viper",43,37,27,144.0,0.49,0.78,5,2,2.51
valyn,astra,14,16,5,105.0,0.22,0.61,1,1,1.7799999999999998
valyn,brimstone,16,14,5,142.0,0.25,0.8,2,0,2.4699999999999998
valyn,omen,10,8,13,80.0,0.65,0.5,2,2,1.75
valyn,"astra, brimstone, omen",40,38,23,109.0,0.37,0.63,5,3,1.7899999999999998
leaf,chamber,17,18,6,147.0,0.26,0.74,4,2,2.2699999999999996
leaf,deadlock,8,17,6,86.0,0.3,0.4,0,6,0.96
leaf,viper,11,13,11,118.0,0.55,0.55,2,0,2.2800000000000002
leaf,"chamber, deadlock, viper",36,48,23,118.0,0.37,0.57,6,8,1.32
JonahP,fade,13,24,16,81.0,0.4,0.33,2,5,1.04
JonahP,sova,15,15,8,103.0,0.35,0.65,0,3,1.7300000000000002
JonahP,"fade, sova",28,39,24,89.0,0.38,0.44,2,8,0.9099999999999999
trent,tejo,43,43,9,136.0,0.14,0.68,2,5,1.6800000000000002
jawgemo,yoru,57,48,12,157.0,0.19,0.9,15,9,1.7600000000000002
MaKo,brimstone,21,10,11,160.0,0.55,1.05,3,0,3.2
MaKo,omen,36,30,14,132.0,0.33,0.84,6,7,1.79
MaKo,"brimstone, omen",57,40,25,141.0,0.4,0.9,9,7,2.01
free1ng,cypher,6,14,3,35.0,0.13,0.26,1,2,0.54
free1ng,viper,14,11,7,127.0,0.35,0.7,3,1,2.2199999999999998
free1ng,vyse,15,15,4,137.0,0.2,0.75,1,2,2.12
free1ng,"cypher, viper, vyse",35,40,14,96.0,0.22,0.56,5,5,1.24
BeYN,fade,17,27,11,76.0,0.28,0.43,1,2,1.27
BeYN,sova,9,16,11,98.0,0.48,0.39,3,1,1.75
BeYN,"fade, sova",26,43,22,84.0,0.35,0.41,4,3,1.3
HYUNMIN,waylay,47,39,23,149.0,0.37,0.75,4,7,1.9100000000000001
Flashback,yoru,50,42,9,129.0,0.14,0.79,11,8,1.4200000000000002
Boo,brimstone,16,14,7,111.0,0.32,0.73,1,1,2.06
Boo,omen,11,22,21,67.0,0.64,0.33,1,3,1.34
Boo,"brimstone, omen",27,36,28,84.0,0.51,0.49,2,4,1.44
Wo0t,chamber,10,11,1,105.0,0.06,0.63,3,5,1.24
Wo0t,jett,13,8,0,96.0,0.0,0.76,1,1,1.6199999999999999
Wo0t,yoru,16,18,5,125.0,0.23,0.73,1,4,1.81
Wo0t,"chamber, jett, yoru",39,37,6,110.0,0.11,0.71,5,10,0.9199999999999999
benjyfishy,cypher,11,8,4,109.0,0.24,0.65,1,0,1.98
benjyfishy,deadlock,9,15,2,97.0,0.13,0.56,0,0,1.6600000000000001
benjyfishy,viper,12,17,9,133.0,0.41,0.55,4,3,1.99
benjyfishy,"cypher, deadlock, viper",32,40,15,115.0,0.27,0.58,5,3,1.7
RieNs,fade,20,33,11,106.0,0.29,0.53,1,4,1.48
RieNs,sova,23,8,4,224.0,0.24,1.35,3,0,3.83
RieNs,"fade, sova",43,41,15,142.0,0.27,0.78,4,4,2.07
MiniBoo,raze,11,14,1,121.0,0.06,0.69,2,2,1.76
MiniBoo,waylay,19,17,4,140.0,0.18,0.86,2,4,2.04
MiniBoo,yoru,17,11,4,192.0,0.24,1.0,5,3,2.8600000000000003
MiniBoo,"raze, waylay, yoru",47,42,9,151.0,0.16,0.85,9,9,1.62
f0rsakeN,brimstone,21,17,9,181.0,0.41,0.95,3,1,3.07
f0rsakeN,omen,32,27,25,137.0,0.61,0.78,5,4,2.3600000000000003
f0rsakeN,"brimstone, omen",53,44,34,153.0,0.54,0.84,8,5,2.41
PatMen,fade,31,23,16,136.0,0.41,0.79,1,2,2.36
PatMen,sova,13,15,9,112.0,0.38,0.54,0,1,1.94
PatMen,"fade, sova",44,38,25,127.0,0.4,0.7,1,3,2.0700000000000003
Jinggg,raze,28,29,8,127.0,0.21,0.72,3,7,1.5
Jinggg,sage,13,16,10,94.0,0.42,0.54,0,3,1.5999999999999999
Jinggg,"raze, sage",41,45,18,114.0,0.29,0.65,3,10,1.08
d4v41,viper,15,16,8,132.0,0.36,0.68,1,4,1.9600000000000004
d4v41,vyse,37,23,13,166.0,0.32,0.9,7,4,2.48
d4v41,"viper, vyse",52,39,21,154.0,0.33,0.83,8,8,1.9000000000000001
something,yoru,47,42,23,136.0,0.37,0.75,9,8,1.6800000000000004
MaKo,brimstone,11,11,8,112.0,0.35,0.48,0,3,1.6500000000000001
MaKo,omen,26,34,17,97.0,0.33,0.51,2,3,1.51
MaKo,"brimstone, omen",37,45,25,102.0,0.34,0.5,2,6,1.26
free1ng,cypher,14,15,3,115.0,0.13,0.61,1,3,1.5899999999999999
free1ng,viper,14,16,3,119.0,0.13,0.61,4,3,1.63
free1ng,vyse,23,17,9,145.0,0.32,0.82,4,4,2.19
free1ng,"cypher, viper, vyse",51,48,15,128.0,0.2,0.69,9,10,1.17
BeYN,fade,12,13,10,97.0,0.43,0.52,1,1,1.8199999999999998
BeYN,sova,39,30,11,142.0,0.22,0.76,2,3,2.0999999999999996
BeYN,"fade, sova",51,43,21,128.0,0.28,0.69,3,4,1.85
Flashback,neon,12,21,3,104.0,0.13,0.52,2,9,0.7899999999999999
Flashback,yoru,43,35,11,153.0,0.22,0.84,10,8,1.7899999999999998
Flashback,"neon, yoru",55,56,14,138.0,0.19,0.74,12,17,0.6099999999999994
HYUNMIN,waylay,45,55,9,114.0,0.12,0.61,4,6,1.2699999999999998
xenom,brimstone,10,15,20,88.0,0.87,0.43,1,1,2.08
xenom,omen,27,33,23,98.0,0.45,0.53,1,4,1.56
xenom,"brimstone, omen",37,48,43,95.0,0.58,0.5,2,5,1.5300000000000002
cortezia,cypher,18,11,3,148.0,0.13,0.78,3,0,2.39
cortezia,viper,17,14,8,139.0,0.35,0.74,0,0,2.4799999999999995
cortezia,vyse,22,18,5,152.0,0.18,0.79,4,2,2.29
cortezia,"cypher, viper, vyse",57,43,16,147.0,0.22,0.77,7,2,2.26
Verno,fade,11,14,11,95.0,0.48,0.48,2,1,1.8099999999999998
Verno,sova,32,32,14,131.0,0.27,0.63,2,4,1.81
Verno,"fade, sova",43,46,25,120.0,0.34,0.58,4,5,1.62
aspas,jett,28,19,3,170.0,0.11,1.0,8,2,2.61
aspas,neon,25,15,4,198.0,0.17,1.09,5,0,3.24
aspas,raze,23,17,1,181.0,0.04,1.0,5,2,2.65
aspas,"jett, neon, raze",76,51,8,182.0,0.11,1.03,18,4,2.56
artzin,kayo,8,22,16,76.0,0.57,0.29,3,5,1.1199999999999999
artzin,viper,16,15,1,132.0,0.04,0.7,5,3,1.76
artzin,yoru,10,14,3,97.0,0.13,0.43,4,6,0.9299999999999999
artzin,"kayo, viper, yoru",34,51,20,100.0,0.27,0.46,12,14,0.32999999999999985
Boo,brimstone,13,17,9,119.0,0.41,0.59,2,3,1.89
Boo,omen,22,32,17,111.0,0.41,0.54,2,3,1.76
Boo,"brimstone, omen",35,49,26,114.0,0.41,0.56,4,6,1.5099999999999998
Wo0t,chamber,8,12,4,98.0,0.24,0.47,3,2,1.49
Wo0t,jett,24,19,3,181.0,0.13,1.0,5,4,2.54
Wo0t,yoru,25,16,4,169.0,0.18,1.14,4,2,2.8099999999999996
Wo0t,"chamber, jett, yoru",57,47,11,155.0,0.17,0.9,12,8,1.82
benjyfishy,cypher,9,16,3,70.0,0.13,0.38,0,2,1.01
benjyfishy,deadlock,11,14,6,142.0,0.35,0.65,2,0,2.42
benjyfishy,viper,13,14,5,97.0,0.23,0.59,2,0,1.79
benjyfishy,"cypher, deadlock, viper",33,44,14,99.0,0.22,0.52,4,2,1.53
RieNs,fade,28,29,15,128.0,0.38,0.72,3,1,2.28
RieNs,sova,19,17,7,155.0,0.29,0.79,3,2,2.4299999999999997
RieNs,"fade, sova",47,46,22,138.0,0.35,0.75,6,3,2.1799999999999997
MiniBoo,raze,10,16,4,150.0,0.24,0.59,3,2,2.13
MiniBoo,waylay,13,18,6,109.0,0.27,0.59,2,5,1.4500000000000002
MiniBoo,yoru,13,17,4,114.0,0.17,0.54,3,3,1.55
MiniBoo,"raze, waylay, yoru",36,51,14,122.0,0.22,0.57,8,10,1.0099999999999998
BeYN,fade,14,10,4,124.0,0.19,0.67,4,0,2.1
BeYN,sova,16,18,7,119.0,0.25,0.57,1,0,2.01
BeYN,"fade, sova",30,28,11,121.0,0.22,0.61,5,0,2.04
MaKo,omen,32,24,22,109.0,0.45,0.65,4,3,1.8900000000000003
HYUNMIN,raze,19,13,3,173.0,0.14,0.9,1,3,2.4699999999999998
HYUNMIN,waylay,36,19,1,220.0,0.04,1.29,8,1,3.43
HYUNMIN,"raze, waylay",55,32,4,200.0,0.08,1.12,9,4,2.8000000000000003
free1ng,vyse,32,28,12,122.0,0.24,0.65,6,5,1.6099999999999999
Flashback,yoru,31,35,15,126.0,0.31,0.63,3,10,1.2000000000000002
PatMen,fade,4,17,1,42.0,0.05,0.19,2,3,0.3599999999999999
PatMen,sova,13,18,3,113.0,0.11,0.46,1,2,1.5
PatMen,"fade, sova",17,35,4,82.0,0.08,0.35,3,5,0.75
f0rsakeN,omen,26,37,16,101.0,0.33,0.53,1,5,1.37
Jinggg,raze,20,15,1,181.0,0.05,0.95,4,2,2.61
Jinggg,sage,28,19,5,175.0,0.18,1.0,7,6,2.3299999999999996
Jinggg,"raze, sage",48,34,6,178.0,0.12,0.98,11,8,2.08
d4v41,vyse,28,35,13,126.0,0.27,0.57,1,3,1.8
something,yoru,28,39,9,105.0,0.18,0.57,6,6,1.2
Boaster,astra,22,12,7,106.0,0.21,0.67,0,1,1.8399999999999999
Boaster,omen,19,32,19,72.0,0.42,0.42,1,3,1.26
Boaster,"astra, omen",41,44,26,87.0,0.33,0.53,1,4,1.33
Chronicle,breach,6,18,5,70.0,0.24,0.29,0,1,1.13
Chronicle,viper,51,33,15,170.0,0.26,0.89,7,5,2.3499999999999996
Chronicle,"breach, viper",57,51,20,143.0,0.26,0.73,7,6,1.8199999999999998
crashies,fade,45,28,10,148.0,0.19,0.83,3,2,2.3
crashies,sova,20,11,5,142.0,0.21,0.83,2,0,2.46
crashies,"fade, sova",65,39,15,146.0,0.19,0.83,5,2,2.28
Alfajer,killjoy,15,16,0,120.0,0.0,0.63,1,4,1.4300000000000002
Alfajer,tejo,6,8,4,70.0,0.24,0.35,0,2,1.09
Alfajer,vyse,33,23,6,164.0,0.16,0.89,8,6,2.09
Alfajer,"killjoy, tejo, vyse",54,47,10,130.0,0.13,0.69,9,12,0.9199999999999999
kaajak,neon,14,16,4,131.0,0.19,0.67,4,4,1.77
