Player,Agents,Kills,Deaths,Assists,Average Damage Per Round,Assists Per Round,Kills Per Round,First Kills,First Deaths,simple_score
MrFaliN,sova,0,14,3,27.0,0.2,0.0,0,1,0.37
MrFaliN,"omen, sova",12,27,14,85.0,0.42,0.36,1,2,1.43
cNed,omen,12,14,2,141.0,0.13,0.8,1,2,2.1399999999999997
cNed,yoru,14,16,3,127.0,0.17,0.78,2,5,1.7200000000000002
cNed,"omen, yoru",26,30,5,133.0,0.15,0.79,3,7,1.5699999999999998
Boo,brimstone,8,9,10,79.0,0.56,0.44,1,0,1.79
Boo,omen,21,33,18,84.0,0.35,0.4,1,4,1.19
Boo,"brimstone, omen",29,42,28,82.0,0.4,0.41,2,4,1.23
benjyfishy,cypher,14,20,3,89.0,0.12,0.54,1,5,1.05
benjyfishy,viper,25,33,8,113.0,0.18,0.57,3,3,1.5799999999999998
benjyfishy,"cypher, viper",39,53,11,104.0,0.16,0.56,4,8,0.9600000000000002
Wo0t,fade,18,9,7,161.0,0.39,1.0,4,0,3.0
Wo0t,jett,23,17,6,186.0,0.23,0.88,6,3,2.67
Wo0t,waylay,24,22,4,180.0,0.15,0.92,6,4,2.47
Wo0t,"fade, jett, waylay",65,48,17,177.0,0.24,0.93,16,7,2.2399999999999998
RieNs,fade,18,20,10,149.0,0.38,0.69,2,1,2.4599999999999995
RieNs,gekko,12,11,11,138.0,0.61,0.67,0,0,2.66
RieNs,sova,23,18,3,161.0,0.12,0.88,4,0,2.6100000000000003
RieNs,"fade, gekko, sova",53,49,24,151.0,0.34,0.76,6,1,2.5100000000000002
MiniBoo,raze,19,13,3,177.0,0.17,1.06,5,5,2.5
MiniBoo,yoru,40,40,6,137.0,0.12,0.77,6,6,1.6600000000000001
MiniBoo,"raze, yoru",59,53,9,147.0,0.13,0.84,11,11,1.3399999999999999
Alfajer,chamber,23,12,1,203.0,0.05,1.15,8,3,2.9299999999999997
Alfajer,iso,25,19,4,179.0,0.17,1.04,7,2,2.8
Alfajer,"chamber, iso",48,31,5,190.0,0.11,1.09,15,5,2.6
Chronicle,cypher,10,16,7,98.0,0.29,0.42,2,2,1.49
Chronicle,vyse,12,13,6,127.0,0.3,0.6,2,1,2.07
Chronicle,"cypher, vyse",22,29,13,111.0,0.3,0.5,4,3,1.61
Boaster,omen,33,24,19,129.0,0.43,0.75,2,1,2.3699999999999997
crashies,sova,36,26,11,177.0,0.25,0.82,3,3,2.54
kaajak,yoru,33,28,7,135.0,0.16,0.75,5,3,1.9600000000000002
OLIZERA,cypher,23,19,5,167.0,0.21,0.96,8,0,2.84
OLIZERA,killjoy,13,17,4,131.0,0.2,0.65,3,1,2.06
OLIZERA,viper,10,18,9,100.0,0.38,0.42,1,7,1.1
OLIZERA,"cypher, killjoy, viper",46,54,18,133.0,0.26,0.68,12,8,1.47
batujnax,deadlock,39,32,12,140.0,0.25,0.81,5,4,2.06
batujnax,omen,15,12,6,119.0,0.3,0.75,1,2,2.04
batujnax,"deadlock, omen",54,44,18,134.0,0.26,0.79,6,6,1.79
penny,jett,12,13,5,132.0,0.25,0.6,1,6,1.5699999999999998
penny,neon,23,16,3,170.0,0.13,0.96,3,2,2.59
penny,raze,21,17,8,177.0,0.33,0.88,5,1,2.88
penny,"jett, neon, raze",56,46,16,161.0,0.24,0.82,9,9,1.77
MOLSI,kayo,17,17,17,124.0,0.71,0.71,2,2,2.46
MOLSI,sova,32,32,16,156.0,0.36,0.73,3,2,2.4499999999999997
MOLSI,"kayo, sova",49,49,33,145.0,0.49,0.72,5,4,2.2600000000000002
AvovA,omen,26,33,13,96.0,0.27,0.54,3,2,1.57
AvovA,viper,9,17,7,82.0,0.35,0.45,1,3,1.32
AvovA,"omen, viper",35,50,20,92.0,0.29,0.51,4,5,1.2200000000000002
Less,cypher,10,7,4,107.0,0.27,0.67,0,0,2.0100000000000002
Less,viper,12,11,5,138.0,0.28,0.67,3,0,2.33
Less,"cypher, viper",22,18,9,124.0,0.27,0.67,3,0,2.18
UNFAKE,fade,15,8,3,138.0,0.17,0.83,1,0,2.38
UNFAKE,sova,14,5,10,161.0,0.67,0.93,2,0,3.21
UNFAKE,"fade, sova",29,13,13,148.0,0.39,0.88,3,0,2.75
KovaQ,iso,19,10,2,204.0,0.13,1.27,5,1,3.34
KovaQ,vyse,22,14,5,183.0,0.28,1.22,4,1,3.23
KovaQ,"iso, vyse",41,24,7,193.0,0.21,1.24,9,2,3.1799999999999997
Kicks,omen,17,15,18,104.0,0.55,0.52,1,0,2.1100000000000003
Derke,raze,17,12,4,182.0,0.22,0.94,7,2,2.78
Derke,yoru,18,11,7,216.0,0.47,1.2,4,2,3.63
Derke,"raze, yoru",35,23,11,198.0,0.33,1.06,11,4,2.97
Elite,cypher,36,31,8,142.0,0.17,0.75,6,5,1.8399999999999999
Elite,killjoy,14,13,4,141.0,0.2,0.7,2,2,2.1099999999999994
Elite,"cypher, killjoy",50,44,12,142.0,0.18,0.74,8,7,1.6399999999999997
saadhak,fade,10,21,6,80.0,0.25,0.42,1,3,1.17
saadhak,kayo,10,14,13,87.0,0.65,0.5,1,3,1.72
saadhak,sova,14,16,11,147.0,0.46,0.58,1,0,2.51
saadhak,"fade, kayo, sova",34,51,30,106.0,0.44,0.5,3,6,1.4
SUYGETSU,omen,42,35,11,145.0,0.23,0.88,6,5,2.06
SUYGETSU,viper,26,13,1,225.0,0.05,1.3,5,0,3.6
SUYGETSU,"omen, viper",68,48,12,169.0,0.18,1.0,11,5,2.37
marteen,omen,10,12,7,86.0,0.35,0.5,2,2,1.51
marteen,yoru,29,37,16,112.0,0.33,0.6,2,10,1.0499999999999998
marteen,"omen, yoru",39,49,23,104.0,0.34,0.57,4,12,0.7499999999999998
Avez,phoenix,15,19,9,130.0,0.38,0.63,2,3,2.01
Avez,raze,23,18,7,186.0,0.29,0.96,1,3,2.8100000000000005
Avez,sova,14,11,0,100.0,0.0,0.7,3,0,1.7
Avez,"phoenix, raze, sova",52,48,16,141.0,0.24,0.76,6,6,1.81
nAts,cypher,10,10,4,128.0,0.24,0.59,2,1,2.01
nAts,viper,18,13,8,163.0,0.4,0.9,2,2,2.7299999999999995
nAts,"cypher, viper",28,23,12,147.0,0.32,0.76,4,3,2.25
trexx,fade,28,23,17,137.0,0.46,0.76,3,0,2.59
paTiTek,gekko,16,13,5,156.0,0.25,0.8,2,1,2.5100000000000002
paTiTek,omen,13,8,9,131.0,0.53,0.76,3,1,2.5
paTiTek,"gekko, omen",29,21,14,144.0,0.38,0.78,5,2,2.4
keiko,omen,15,12,5,125.0,0.25,0.75,2,2,2.05
keiko,raze,24,7,1,226.0,0.06,1.41,4,0,3.7299999999999995
keiko,"omen, raze",39,19,6,172.0,0.16,1.05,6,2,2.7299999999999995
kamo,yoru,32,26,9,169.0,0.24,0.86,6,6,2.19
westside,cypher,31,35,9,128.0,0.19,0.65,5,4,1.7200000000000002
westside,killjoy,16,13,1,146.0,0.05,0.8,0,1,2.21
westside,"cypher, killjoy",47,48,10,134.0,0.15,0.69,5,5,1.6800000000000002
Cloud,fade,31,33,16,114.0,0.33,0.65,4,1,2.02
Cloud,gekko,11,16,6,106.0,0.3,0.55,2,1,1.81
Cloud,"fade, gekko",42,49,22,112.0,0.32,0.62,6,2,1.86
ara,jett,17,13,2,168.0,0.1,0.85,4,1,2.53
ara,neon,17,17,3,123.0,0.13,0.71,6,4,1.67
ara,raze,31,15,5,230.0,0.21,1.29,3,1,3.6999999999999997
ara,"jett, neon, raze",65,45,10,174.0,0.15,0.96,13,6,2.2499999999999996
Flickless,kayo,30,33,28,142.0,0.64,0.68,5,6,2.14
Flickless,viper,15,19,11,139.0,0.46,0.63,2,3,2.1799999999999997
Flickless,"kayo, viper",45,52,39,141.0,0.57,0.66,7,9,1.7399999999999998
grubinho,omen,27,33,24,102.0,0.5,0.56,2,6,1.48
grubinho,viper,16,12,4,124.0,0.2,0.8,2,5,1.7400000000000002
grubinho,"omen, viper",43,45,28,109.0,0.41,0.63,4,11,1.0299999999999998
hiro,cypher,24,30,4,125.0,0.11,0.65,0,4,1.6099999999999999
Shao,fade,16,13,8,159.0,0.4,0.8,2,0,2.79
Shao,sova,8,14,1,110.0,0.06,0.47,0,2,1.4300000000000002
Shao,"fade, sova",24,27,9,137.0,0.24,0.65,2,2,2.06
alexiiik,jett,14,18,1,135.0,0.05,0.7,4,1,2.0
alexiiik,neon,5,16,1,62.0,0.06,0.29,2,7,0.2699999999999999
alexiiik,"jett, neon",19,34,2,101.0,0.05,0.51,6,8,0.77
ANGE1,kayo,20,33,12,108.0,0.32,0.54,2,4,1.54
Ruxic,omen,25,32,11,121.0,0.3,0.68,3,6,1.5899999999999999
MONSTEERR,cypher,16,19,2,96.0,0.08,0.67,2,0,1.71
MONSTEERR,killjoy,8,17,1,83.0,0.05,0.4,3,5,0.78
MONSTEERR,"cypher, killjoy",24,36,3,90.0,0.07,0.55,5,5,1.02
nataNk,iso,15,18,7,127.0,0.29,0.63,1,7,1.4899999999999998
nataNk,sova,18,15,4,155.0,0.2,0.9,1,2,2.45
nataNk,"iso, sova",33,33,11,140.0,0.25,0.75,2,9,1.5
flyuh,kayo,7,18,7,75.0,0.35,0.35,0,3,1.15
flyuh,sova,17,15,4,144.0,0.17,0.71,1,3,2.0199999999999996
flyuh,"kayo, sova",24,33,11,113.0,0.25,0.55,1,6,1.3299999999999998
baddyG,omen,29,36,14,118.0,0.32,0.66,2,3,1.86
Filu,waylay,13,17,7,158.0,0.35,0.65,1,3,2.2800000000000002
Filu,yoru,15,17,7,104.0,0.29,0.63,4,3,1.66
Filu,"waylay, yoru",28,34,14,129.0,0.32,0.64,5,6,1.65
Boaster,astra,14,18,11,101.0,0.39,0.5,1,0,1.9
Boaster,omen,10,16,4,74.0,0.17,0.43,0,3,1.0399999999999998
Boaster,viper,11,17,8,99.0,0.33,0.46,0,2,1.58
Boaster,"astra, omen, viper",35,51,23,92.0,0.31,0.47,1,5,1.2000000000000002
Alfajer,chamber,19,14,4,144.0,0.17,0.83,3,3,2.1399999999999997
Alfajer,killjoy,24,21,5,204.0,0.21,1.0,2,3,2.95
Alfajer,tejo,26,18,4,177.0,0.14,0.93,2,1,2.7399999999999998
Alfajer,"chamber, killjoy, tejo",69,53,13,175.0,0.17,0.92,7,7,2.1399999999999997
crashies,fade,15,16,14,122.0,0.5,0.54,0,3,1.9599999999999997
crashies,sova,35,30,12,157.0,0.26,0.74,2,1,2.47
crashies,"fade, sova",50,46,26,144.0,0.35,0.67,2,4,2.06
kaajak,jett,14,16,0,108.0,0.0,0.58,3,6,1.06
kaajak,raze,24,22,3,141.0,0.11,0.86,4,7,1.6799999999999997
kaajak,yoru,15,17,7,133.0,0.3,0.65,4,6,1.6800000000000002
kaajak,"jett, raze, yoru",53,55,10,128.0,0.13,0.71,11,19,0.21999999999999997
Chronicle,sage,12,21,7,104.0,0.29,0.5,2,3,1.53
Chronicle,viper,22,20,9,154.0,0.32,0.79,5,5,2.1500000000000004
Chronicle,vyse,20,17,5,168.0,0.22,0.87,1,3,2.4699999999999998
Chronicle,"sage, viper, vyse",54,58,21,142.0,0.28,0.72,8,11,1.3199999999999998
grubinho,astra,8,16,9,82.0,0.5,0.44,0,3,1.4599999999999997
grubinho,omen,42,30,19,184.0,0.44,0.98,8,4,2.86
grubinho,"astra, omen",50,46,28,154.0,0.46,0.82,8,7,2.12
Flickless,breach,20,33,13,91.0,0.3,0.47,3,4,1.2800000000000002
Flickless,viper,18,11,2,162.0,0.11,1.0,0,3,2.4300000000000006
Flickless,"breach, viper",38,44,15,112.0,0.25,0.62,3,7,1.29
westside,cypher,31,32,9,145.0,0.21,0.72,6,1,2.28
westside,deadlock,13,15,2,107.0,0.11,0.72,1,4,1.5
westside,"cypher, deadlock",44,47,11,134.0,0.18,0.72,7,5,1.7400000000000002
Cloud,gekko,8,16,5,99.0,0.28,0.44,0,1,1.6099999999999999
Cloud,sova,33,31,9,154.0,0.21,0.77,4,2,2.32
Cloud,"gekko, sova",41,47,14,138.0,0.23,0.67,4,3,1.9799999999999998
ara,neon,21,33,1,76.0,0.02,0.49,4,7,0.57
ara,raze,8,16,4,101.0,0.22,0.44,2,4,1.27
ara,"neon, raze",29,49,5,83.0,0.08,0.48,6,11,0.2899999999999998
qRaxs,breach,21,10,5,169.0,0.26,1.11,3,0,3.06
qRaxs,kayo,30,31,25,134.0,0.6,0.71,4,4,2.2500000000000004
qRaxs,"breach, kayo",51,41,30,145.0,0.49,0.84,7,4,2.3800000000000003
yetujey,cypher,32,28,9,140.0,0.21,0.74,5,7,1.6499999999999995
yetujey,viper,15,10,6,137.0,0.33,0.83,3,0,2.5300000000000002
yetujey,"cypher, viper",47,38,15,139.0,0.25,0.77,8,7,1.71
MrFaliN,fade,22,30,21,92.0,0.5,0.52,1,4,1.54
MrFaliN,sova,16,8,6,176.0,0.32,0.84,0,1,2.82
MrFaliN,"fade, sova",38,38,27,118.0,0.44,0.62,1,5,1.7400000000000002
xeus,neon,10,15,4,105.0,0.21,0.53,1,4,1.3900000000000001
xeus,raze,39,30,11,164.0,0.26,0.93,8,5,2.33
xeus,"neon, raze",49,45,15,146.0,0.25,0.8,9,9,1.6099999999999999
cNed,omen,48,40,18,132.0,0.3,0.79,8,3,2.1100000000000003
flyuh,breach,10,15,7,112.0,0.32,0.45,2,2,1.6900000000000002
flyuh,fade,6,14,2,86.0,0.12,0.35,0,1,1.23
flyuh,kayo,8,14,6,93.0,0.4,0.53,0,3,1.56
flyuh,"breach, fade, kayo",24,43,15,98.0,0.28,0.44,2,6,1.0999999999999999
Filu,neon,25,30,3,121.0,0.08,0.68,8,11,0.8699999999999999
Filu,yoru,14,14,1,131.0,0.06,0.82,3,4,1.79
Filu,"neon, yoru",39,44,4,124.0,0.07,0.72,11,15,0.5300000000000002
baddyG,omen,24,43,14,81.0,0.26,0.44,1,2,1.31
nataNk,sova,18,26,6,98.0,0.16,0.49,3,2,1.43
nataNk,vyse,11,13,9,150.0,0.53,0.65,3,3,2.38
nataNk,"sova, vyse",29,39,15,114.0,0.28,0.54,6,5,1.46
MONSTEERR,viper,25,24,8,128.0,0.21,0.64,2,3,1.8299999999999998
MONSTEERR,vyse,9,13,2,144.0,0.13,0.6,0,1,2.07
MONSTEERR,"viper, vyse",34,37,10,133.0,0.19,0.63,2,4,1.7500000000000004
kamyk,breach,12,16,7,85.0,0.27,0.46,1,1,1.48
kamyk,viper,7,12,2,87.0,0.13,0.44,1,0,1.44
kamyk,"breach, viper",19,28,9,86.0,0.21,0.45,2,1,1.42
Minny,deadlock,7,15,1,88.0,0.06,0.44,0,4,0.9799999999999999
Minny,viper,18,21,6,125.0,0.23,0.69,3,2,1.97
Minny,"deadlock, viper",25,36,7,111.0,0.17,0.6,3,6,1.28
ComeBack,neon,37,29,7,160.0,0.17,0.88,8,7,1.9500000000000002
Proxh,omen,19,35,12,107.0,0.29,0.45,3,5,1.31
Veqaj,sova,23,35,9,123.0,0.21,0.55,1,6,1.39
sociablEE,chamber,20,20,4,137.0,0.15,0.77,2,4,1.8900000000000001
sociablEE,deadlock,11,9,3,118.0,0.19,0.69,3,0,2.0599999999999996
sociablEE,"chamber, deadlock",31,29,7,130.0,0.17,0.74,5,4,1.81
MAGNUM,deadlock,15,17,11,115.0,0.42,0.58,1,2,1.95
MAGNUM,viper,15,4,3,162.0,0.19,0.94,3,0,2.75
MAGNUM,"deadlock, viper",30,21,14,133.0,0.33,0.71,4,2,2.17
Jamppi,fade,16,16,8,100.0,0.31,0.62,0,4,1.5299999999999998
Jamppi,sova,18,5,5,192.0,0.31,1.13,1,0,3.36
Jamppi,"fade, sova",34,21,13,135.0,0.31,0.81,1,4,2.0700000000000003
LewN,neon,15,10,1,128.0,0.06,0.94,5,1,2.18
LewN,raze,21,18,1,133.0,0.04,0.81,6,4,1.7800000000000002
LewN,"neon, raze",36,28,2,131.0,0.05,0.86,11,5,1.7200000000000002
PROFEK,omen,32,24,10,138.0,0.24,0.76,4,2,2.1799999999999997
Less,cypher,40,30,11,157.0,0.24,0.87,3,2,2.4799999999999995
KovaQ,iso,15,20,5,119.0,0.21,0.63,0,2,1.8299999999999998
KovaQ,kayo,9,17,4,89.0,0.18,0.41,3,4,1.08
KovaQ,"iso, kayo",24,37,9,105.0,0.2,0.52,3,6,1.17
Derke,jett,16,19,2,145.0,0.09,0.73,4,5,1.77
Derke,yoru,19,18,4,156.0,0.17,0.79,3,6,1.92
Derke,"jett, yoru",35,37,6,150.0,0.13,0.76,7,11,1.29
Kicks,omen,23,37,17,99.0,0.37,0.5,2,4,1.46
UNFAKE,sova,32,37,12,130.0,0.26,0.7,5,3,1.9599999999999997
hiro,cypher,18,13,3,130.0,0.13,0.78,0,2,2.01
hiro,killjoy,22,17,4,183.0,0.17,0.92,7,2,2.7199999999999998
hiro,viper,17,21,8,128.0,0.29,0.61,2,6,1.5799999999999996
hiro,"cypher, killjoy, viper",57,51,15,146.0,0.2,0.76,9,10,1.42
Shao,fade,17,21,10,110.0,0.36,0.61,4,1,1.9700000000000002
Shao,sage,9,16,7,70.0,0.29,0.38,0,1,1.2699999999999998
Shao,sova,6,16,7,74.0,0.3,0.26,0,2,1.1
Shao,"fade, sage, sova",32,53,24,86.0,0.32,0.43,4,4,1.21
alexiiik,jett,46,33,4,167.0,0.09,0.98,11,5,2.24
alexiiik,raze,20,19,2,131.0,0.07,0.71,5,4,1.69
alexiiik,"jett, raze",66,52,6,154.0,0.08,0.88,16,9,1.6
ANGE1,kayo,27,37,30,98.0,0.59,0.53,4,2,1.9000000000000001
ANGE1,sova,8,17,6,82.0,0.25,0.33,0,3,1.0999999999999999
ANGE1,"kayo, sova",35,54,36,93.0,0.48,0.47,4,5,1.38
Ruxic,omen,42,36,15,143.0,0.29,0.82,10,0,2.54
Ruxic,viper,31,15,4,240.0,0.17,1.29,3,1,3.76
Ruxic,"omen, viper",73,51,19,174.0,0.25,0.97,13,1,2.86
benjyfishy,cypher,33,31,11,122.0,0.24,0.72,4,1,2.0799999999999996
Wo0t,iso,15,18,4,109.0,0.17,0.63,0,3,1.59
Wo0t,jett,25,13,7,214.0,0.32,1.14,2,4,3.2
Wo0t,"iso, jett",40,31,11,159.0,0.24,0.87,2,7,2.0
Boo,omen,28,27,20,102.0,0.43,0.61,6,5,1.56
RieNs,sova,39,32,20,176.0,0.43,0.85,5,1,2.94
MiniBoo,yoru,38,33,12,160.0,0.26,0.83,9,6,2.09
nAts,cypher,19,16,2,125.0,0.08,0.73,4,0,2.06
nAts,viper,18,14,6,149.0,0.25,0.75,2,1,2.39
nAts,vyse,20,13,9,188.0,0.47,1.05,4,0,3.4
nAts,"cypher, viper, vyse",57,43,17,150.0,0.25,0.83,10,1,2.48
trexx,fade,33,26,17,145.0,0.4,0.77,3,4,2.22
trexx,sova,16,15,7,119.0,0.27,0.62,0,1,1.98
trexx,"fade, sova",49,41,24,135.0,0.35,0.71,3,5,1.9100000000000001
paTiTek,gekko,12,18,6,109.0,0.25,0.5,0,3,1.54
paTiTek,kayo,21,16,12,132.0,0.46,0.81,4,4,2.19
paTiTek,omen,10,12,12,87.0,0.63,0.53,1,0,2.0300000000000002
paTiTek,"gekko, kayo, omen",43,46,30,112.0,0.43,0.62,5,7,1.4699999999999998
kamo,jett,18,19,7,140.0,0.27,0.69,7,6,1.7599999999999998
kamo,yoru,32,31,11,140.0,0.26,0.74,7,7,1.6999999999999997
kamo,"jett, yoru",50,50,18,140.0,0.26,0.72,14,13,1.0799999999999998
keiko,omen,29,31,17,100.0,0.34,0.58,3,1,1.8199999999999998
keiko,raze,21,10,1,171.0,0.05,1.11,5,2,2.67
keiko,"omen, raze",50,41,18,120.0,0.26,0.72,8,3,1.8799999999999997
OLIZERA,cypher,50,47,17,121.0,0.25,0.72,4,8,1.3799999999999997
batujnax,deadlock,12,16,3,133.0,0.16,0.63,1,1,2.02
batujnax,yoru,29,39,17,124.0,0.34,0.58,6,9,1.2600000000000002
batujnax,"deadlock, yoru",41,55,20,127.0,0.29,0.59,7,10,1.15
MOLSI,fade,16,16,10,124.0,0.42,0.67,1,2,2.13
MOLSI,kayo,9,14,14,90.0,0.74,0.47,1,0,2.11
MOLSI,sova,11,16,7,105.0,0.27,0.42,1,0,1.74
MOLSI,"fade, kayo, sova",36,46,31,108.0,0.45,0.52,3,2,1.8499999999999999
penny,jett,20,17,2,115.0,0.08,0.77,4,5,1.5
penny,neon,24,16,2,163.0,0.08,1.0,5,3,2.41
penny,raze,9,17,5,117.0,0.26,0.47,1,9,0.9999999999999999
penny,"jett, neon, raze",53,50,9,132.0,0.13,0.77,10,17,0.52
AvovA,omen,41,51,22,115.0,0.32,0.59,5,3,1.7599999999999996
Elite,cypher,33,31,10,102.0,0.19,0.61,2,1,1.72
saadhak,fade,10,15,5,92.0,0.23,0.45,0,3,1.3
saadhak,sova,20,14,16,128.0,0.5,0.63,1,0,2.41
saadhak,"fade, sova",30,29,21,113.0,0.39,0.56,1,3,1.78
SUYGETSU,omen,36,29,23,122.0,0.43,0.67,7,6,1.7200000000000002
Avez,phoenix,40,15,12,221.0,0.38,1.25,9,4,3.44
Avez,raze,16,14,4,151.0,0.18,0.73,4,2,2.2199999999999998
Avez,"phoenix, raze",56,29,16,192.0,0.3,1.04,13,6,2.6599999999999997
marteen,yoru,51,32,14,161.0,0.26,0.94,9,6,2.21
Boaster,astra,12,18,4,79.0,0.15,0.46,1,5,0.8999999999999999
Boaster,omen,6,14,9,121.0,0.64,0.43,0,1,2.18
Boaster,"astra, omen",18,32,13,94.0,0.33,0.45,1,6,1.1199999999999999
Alfajer,chamber,6,14,0,71.0,0.0,0.43,1,4,0.7399999999999999
Alfajer,tejo,29,16,1,199.0,0.04,1.12,3,1,3.0500000000000003
Alfajer,"chamber, tejo",35,30,1,154.0,0.03,0.88,4,5,1.9500000000000002
crashies,fade,13,23,4,102.0,0.15,0.5,1,0,1.67
crashies,sova,10,13,3,129.0,0.21,0.71,0,1,2.11
crashies,"fade, sova",23,36,7,112.0,0.18,0.58,1,1,1.78
kaajak,raze,15,20,5,136.0,0.19,0.58,7,4,1.73
kaajak,yoru,11,13,3,171.0,0.21,0.79,3,2,2.51
kaajak,"raze, yoru",26,33,8,148.0,0.2,0.65,10,6,1.73
Chronicle,viper,12,20,6,95.0,0.23,0.46,1,3,1.34
Chronicle,vyse,5,14,3,58.0,0.21,0.36,0,2,0.95
Chronicle,"viper, vyse",17,34,9,82.0,0.23,0.43,1,5,0.98
Flickless,breach,12,11,9,125.0,0.53,0.71,3,0,2.49
Flickless,kayo,31,37,29,121.0,0.62,0.66,5,6,1.8900000000000001
Flickless,"breach, kayo",43,48,38,122.0,0.59,0.67,8,6,1.88
westside,cypher,43,36,9,127.0,0.14,0.67,3,5,1.58
Cloud,fade,9,16,2,104.0,0.1,0.43,2,2,1.37
Cloud,sova,23,27,10,107.0,0.23,0.53,2,6,1.23
Cloud,"fade, sova",32,43,12,106.0,0.19,0.5,4,8,0.95
ara,jett,24,14,4,170.0,0.15,0.92,4,2,2.57
ara,neon,34,26,9,158.0,0.24,0.89,7,7,2.01
ara,"jett, neon",58,40,13,163.0,0.2,0.91,11,9,1.8400000000000003
grubinho,omen,43,45,32,129.0,0.5,0.67,6,4,2.06
flyuh,breach,15,16,9,107.0,0.41,0.68,1,0,2.16
flyuh,sova,30,24,13,150.0,0.34,0.79,3,2,2.4299999999999997
flyuh,"breach, sova",45,40,22,134.0,0.37,0.75,4,2,2.26
Filu,chamber,15,9,4,168.0,0.24,0.88,6,0,2.8
Filu,neon,19,18,5,190.0,0.23,0.86,7,3,2.6900000000000004
Filu,yoru,19,13,4,158.0,0.19,0.9,3,1,2.57
Filu,"chamber, neon, yoru",53,40,13,172.0,0.22,0.88,16,4,2.4200000000000004
MONSTEERR,cypher,17,15,1,130.0,0.05,0.81,1,3,1.86
MONSTEERR,viper,14,15,3,113.0,0.14,0.64,1,1,1.8099999999999998
MONSTEERR,vyse,10,10,5,97.0,0.29,0.59,1,2,1.65
MONSTEERR,"cypher, viper, vyse",41,40,9,114.0,0.15,0.68,3,6,1.3699999999999999
nataNk,iso,9,12,2,74.0,0.1,0.43,2,4,0.87
nataNk,sova,14,17,3,151.0,0.14,0.64,5,2,2.09
nataNk,yoru,22,7,3,178.0,0.18,1.29,4,2,3.05
nataNk,"iso, sova, yoru",45,36,8,132.0,0.13,0.75,11,8,1.4000000000000001
baddyG,omen,37,37,29,106.0,0.48,0.62,2,4,1.7600000000000002
ANGE1,breach,13,16,9,75.0,0.35,0.5,0,2,1.4000000000000001
ANGE1,gekko,10,15,8,101.0,0.38,0.48,3,2,1.6700000000000002
ANGE1,"breach, gekko",23,31,17,86.0,0.36,0.49,3,4,1.31
hiro,cypher,24,20,10,208.0,0.38,0.92,2,4,2.98
hiro,omen,19,17,9,171.0,0.43,0.9,2,3,2.74
hiro,"cypher, omen",43,37,19,192.0,0.4,0.91,4,7,2.53
Shao,fade,26,26,12,100.0,0.26,0.55,2,1,1.71
Ruxic,omen,31,21,5,212.0,0.19,1.19,5,3,3.2
Ruxic,viper,19,13,9,159.0,0.43,0.9,2,2,2.7199999999999998
Ruxic,"omen, viper",50,34,14,188.0,0.3,1.06,7,5,2.74
alexiiik,raze,44,33,6,153.0,0.13,0.94,9,5,2.0999999999999996
qRaxs,breach,10,16,15,78.0,0.79,0.53,0,1,2.0
qRaxs,kayo,6,17,15,68.0,0.75,0.3,0,0,1.73
qRaxs,"breach, kayo",16,33,30,73.0,0.77,0.41,0,1,1.8099999999999998
yetujey,cypher,13,11,2,122.0,0.11,0.68,2,0,2.01
yetujey,viper,14,14,5,141.0,0.25,0.7,2,2,2.1599999999999997
yetujey,"cypher, viper",27,25,7,132.0,0.18,0.69,4,2,1.99
MrFaliN,fade,5,15,4,65.0,0.2,0.25,0,2,0.9000000000000001
MrFaliN,sova,12,17,9,141.0,0.47,0.63,4,3,2.21
MrFaliN,"fade, sova",17,32,13,102.0,0.33,0.44,4,5,1.29
xeus,neon,14,14,5,115.0,0.26,0.74,2,5,1.65
xeus,raze,24,15,3,214.0,0.15,1.2,8,3,3.1900000000000004
xeus,"neon, raze",38,29,8,166.0,0.21,0.97,10,8,2.04
cNed,omen,26,29,18,146.0,0.46,0.67,3,2,2.3899999999999997
keiko,brimstone,23,16,13,154.0,0.5,0.88,2,0,2.92
keiko,omen,13,9,7,160.0,0.5,0.93,1,3,2.7300000000000004
keiko,"brimstone, omen",36,25,20,156.0,0.5,0.9,3,3,2.66
nAts,cypher,14,9,3,169.0,0.21,1.0,3,0,2.9
nAts,viper,18,18,9,121.0,0.35,0.69,0,3,1.95
nAts,"cypher, viper",32,27,12,138.0,0.3,0.8,3,3,2.1799999999999997
trexx,gekko,16,17,11,131.0,0.42,0.62,4,4,1.9500000000000002
trexx,sova,14,6,6,201.0,0.43,1.0,3,0,3.4399999999999995
trexx,"gekko, sova",30,23,17,156.0,0.43,0.75,7,4,2.3400000000000003
kamo,jett,18,8,2,224.0,0.14,1.29,3,1,3.5700000000000003
kamo,raze,24,17,2,161.0,0.08,0.92,3,4,2.2100000000000004
kamo,"jett, raze",42,25,4,183.0,0.1,1.05,6,5,2.4800000000000004
paTiTek,kayo,9,6,7,119.0,0.5,0.64,0,0,2.33
paTiTek,skye,16,13,8,111.0,0.31,0.62,4,2,1.84
paTiTek,"kayo, skye",25,19,15,114.0,0.38,0.63,4,2,1.95
Boo,brimstone,14,11,7,126.0,0.35,0.7,1,0,2.3099999999999996
Boo,omen,11,14,7,110.0,0.37,0.58,2,1,1.9499999999999997
Boo,"brimstone, omen",25,25,14,118.0,0.36,0.64,3,1,2.0799999999999996
benjyfishy,cypher,15,12,3,137.0,0.16,0.79,1,3,2.0200000000000005
