no,username,region,Weapon,kills,headshot(%)
1972,VIT MLS1#187,eu, Phantom ,"4,831",37.40%
1973,VIT MLS1#187,eu, Ghost ,"2,486",48.10%
1974,Anoxai#SSS,eu, Vandal ,"37,539",37.20%
1975,Anoxai#SSS,eu, Phantom ,"6,371",33.00%
1976,Anoxai#SSS,eu, Sheriff ,"4,816",51.10%
1977,haych#100,eu, Vandal ,"26,341",38.90%
1978,haych#100,eu, Phantom ,"18,622",31.00%
1979,haych#100,eu, Ghost ,"5,503",45.90%
1980,NB Anima#1st,eu, Vandal ,"14,237",33.40%
1981,NB Anima#1st,eu, Phantom ,"5,247",30.40%
1982,NB Anima#1st,eu, Sheriff ,"2,270",47.50%
1983,PCF clory0y0#Cehul,eu, Vandal ,"29,312",39.90%
1984,PCF clory0y0#Cehul,eu, Phantom ,"5,417",33.30%
1985,PCF clory0y0#Cehul,eu, Ghost ,"3,628",43.60%
1986,GNK Famzzam#jay,eu, Vandal ,"40,252",39.20%
1987,GNK Famzzam#jay,eu, Phantom ,"10,295",32.10%
1988,GNK Famzzam#jay,eu, Sheriff ,"5,541",56.40%
1989,DA cacan#301,eu, Vandal ,"30,081",41.60%
1990,DA cacan#301,eu, Phantom ,"7,544",37.50%
1991,DA cacan#301,eu, Operator ,"5,937",7.00%
1992,LOUR Aksu#peace,eu, Vandal ,"12,258",39.90%
1993,LOUR Aksu#peace,eu, Phantom ,"2,939",36.80%
1994,LOUR Aksu#peace,eu, Operator ,"2,264",10.00%
1995,Doma#sumn,eu, Vandal ,"23,663",44.80%
1996,Doma#sumn,eu, Phantom ,"6,755",37.70%
1997,Doma#sumn,eu, Sheriff ,"3,664",64.70%
1998,WLG Cookiee#1312,eu, Vandal ,"30,220",32.60%
1999,WLG Cookiee#1312,eu, Phantom ,"6,658",28.30%
2000,WLG Cookiee#1312,eu, Spectre ,"5,247",22.70%
2001,guslump#1337,eu, Vandal ,"23,181",41.10%
2002,guslump#1337,eu, Sheriff ,"2,214",60.40%
2003,guslump#1337,eu, Phantom ,"1,928",36.10%
2004,leare#1930,eu, Vandal ,"34,958",44.40%
2005,leare#1930,eu, Operator ,"14,801",8.20%
2006,leare#1930,eu, Phantom ,"10,131",36.30%
2007,f4ngeer#0006,eu, Vandal ,"34,276",48.90%
2008,f4ngeer#0006,eu, Operator ,"13,740",7.80%
2009,f4ngeer#0006,eu, Ghost ,"6,347",48.00%
2010,washed feet#lover,eu, Vandal ,"35,102",46.30%
2011,washed feet#lover,eu, Sheriff ,"7,156",56.20%
2012,washed feet#lover,eu, Phantom ,"3,118",36.20%
2013,VAN Qode#0117,eu, Vandal ,"7,358",33.30%
2014,VAN Qode#0117,eu, Phantom ,"1,087",33.90%
2015,VAN Qode#0117,eu, Spectre ,"1,083",19.30%
2016,SEIDER#int,eu, Vandal ,"18,588",47.40%
2017,SEIDER#int,eu, Phantom ,"9,869",39.90%
2018,SEIDER#int,eu, Ghost ,"2,406",51.00%
2019,IW 7ssk7#777,eu, Vandal ,"13,164",45.10%
2020,IW 7ssk7#777,eu, Operator ,"2,830",9.30%
2021,IW 7ssk7#777,eu, Phantom ,"2,198",36.90%
2022,Xtrem Pitou#DEMON,eu, Vandal ,"22,347",34.90%
2023,Xtrem Pitou#DEMON,eu, Phantom ,"9,334",28.90%
2024,Xtrem Pitou#DEMON,eu, Spectre ,"4,179",21.60%
2025,MaciusGOD#369,eu, Vandal ,"7,784",36.60%
2026,MaciusGOD#369,eu, Operator ,"1,381",10.40%
2027,MaciusGOD#369,eu, Phantom ,"1,098",29.50%
2028,TOG stolen#999,eu, Vandal ,"24,170",37.70%
2029,TOG stolen#999,eu, Phantom ,"4,537",31.90%
2030,TOG stolen#999,eu, Spectre ,"3,046",22.00%
2031,deyten ψ#4kt,eu, Vandal ,"13,722",39.30%
2032,deyten ψ#4kt,eu, Phantom ,"2,841",31.20%
2033,deyten ψ#4kt,eu, Ghost ,"1,764",39.00%
2034,MCAST stimx#666,eu, Vandal ,"22,793",33.10%
2035,MCAST stimx#666,eu, Phantom ,"4,984",27.40%
2036,MCAST stimx#666,eu, Operator ,"4,582",8.90%
2037,H4teeXD#15yo,eu, Vandal ,"24,306",44.20%
2038,H4teeXD#15yo,eu, Spectre ,"2,727",30.50%
2039,H4teeXD#15yo,eu, Phantom ,"2,583",38.50%
2040,NoMan#Wazoo,eu, Vandal ,"25,988",44.40%
2041,NoMan#Wazoo,eu, Phantom ,"13,166",38.10%
2042,NoMan#Wazoo,eu, Operator ,"9,825",6.70%
2043,PCF TEYZE 1人#KAÇ,eu, Phantom ,"16,627",28.10%
2044,PCF TEYZE 1人#KAÇ,eu, Vandal ,"14,616",26.90%
2045,PCF TEYZE 1人#KAÇ,eu, Spectre ,"6,387",24.50%
2046,drepeex 神般#999,eu, Vandal ,"5,732",40.40%
2047,drepeex 神般#999,eu, Ghost ,678,48.30%
2048,drepeex 神般#999,eu, Operator ,589,7.30%
2049,ThommolDaBommol#gab,eu, Vandal ,"11,986",35.30%
2050,ThommolDaBommol#gab,eu, Phantom ,"5,264",29.30%
2051,ThommolDaBommol#gab,eu, Spectre ,"1,632",21.90%
2052,azuR#0418,eu, Vandal ,"47,062",40.60%
2053,azuR#0418,eu, Phantom ,"8,447",33.90%
2054,azuR#0418,eu, Operator ,"6,615",9.20%
2055,ronaldinho#krooz,eu, Vandal ,"31,205",39.90%
2056,ronaldinho#krooz,eu, Phantom ,"6,642",29.70%
2057,ronaldinho#krooz,eu, Ghost ,"4,858",39.40%
2058,Collapsed#Above,eu, Vandal ,"26,748",39.30%
2059,Collapsed#Above,eu, Phantom ,"7,170",32.00%
2060,Collapsed#Above,eu, Operator ,"4,457",8.90%
2061,Razziss#kiddo,eu, Vandal ,"21,270",45.50%
2062,Razziss#kiddo,eu, Operator ,"8,677",8.50%
2063,Razziss#kiddo,eu, Ghost ,"3,294",50.30%
2064,ARGENT#BERK,eu, Vandal ,"35,530",38.80%
2065,ARGENT#BERK,eu, Operator ,"13,768",10.10%
2066,ARGENT#BERK,eu, Phantom ,"8,593",31.60%
2067,LOUR Rouss#ANP,eu, Vandal ,"17,397",51.40%
2068,LOUR Rouss#ANP,eu, Phantom ,"4,067",45.00%
2069,LOUR Rouss#ANP,eu, Sheriff ,"2,094",56.40%
2070,ZNEVAA#1111,eu, Vandal ,"30,770",40.30%
2071,ZNEVAA#1111,eu, Phantom ,"13,612",33.90%
2072,ZNEVAA#1111,eu, Operator ,"8,472",9.20%
2073,StenHård#6969,eu, Vandal ,"23,449",36.10%
2074,StenHård#6969,eu, Operator ,"8,847",12.00%
2075,StenHård#6969,eu, Sheriff ,"6,124",43.70%
2076,CGN elllement#kgod,eu, Vandal ,"18,583",42.90%
2077,CGN elllement#kgod,eu, Operator ,"6,203",6.30%
2078,CGN elllement#kgod,eu, Ghost ,"3,269",43.10%
2079,Solary Kinguyen#ANBU,eu, Vandal ,"14,382",42.90%
2080,Solary Kinguyen#ANBU,eu, Phantom ,"6,260",34.00%
2081,Solary Kinguyen#ANBU,eu, Operator ,"2,086",7.10%
2082,champagne papi#0380,eu, Vandal ,"9,542",37.80%
2083,champagne papi#0380,eu, Spectre ,"1,152",21.50%
2084,champagne papi#0380,eu, Ghost ,"1,049",43.10%
2085,explicit#huhh,eu, Phantom ,"4,397",35.10%
2086,explicit#huhh,eu, Vandal ,"4,026",40.80%
2087,explicit#huhh,eu, Spectre ,"1,223",28.50%
2088,MatéliaN#0721,eu, Vandal ,"16,039",43.70%
2089,MatéliaN#0721,eu, Phantom ,"5,454",38.00%
2090,MatéliaN#0721,eu, Ghost ,"2,980",48.30%
2091,Glonn#KEKW,eu, Vandal ,"31,381",33.20%
2092,Glonn#KEKW,eu, Phantom ,"16,140",27.60%
2093,Glonn#KEKW,eu, Spectre ,"4,619",22.20%
2094,Jager Zeuss#JAGER,eu, Vandal ,"43,171",40.10%
2095,Jager Zeuss#JAGER,eu, Sheriff ,"5,562",52.00%
2096,Jager Zeuss#JAGER,eu, Operator ,"4,536",9.00%
2097,Cunha20#999,eu, Vandal ,"19,894",51.50%
2098,Cunha20#999,eu, Phantom ,"5,355",41.70%
2099,Cunha20#999,eu, Ghost ,"3,008",55.10%
2100,GMX Monkey#MNSTR,eu, Vandal ,"18,698",38.70%
2101,GMX Monkey#MNSTR,eu, Phantom ,"4,966",31.60%
2102,GMX Monkey#MNSTR,eu, Spectre ,"2,546",22.20%
2103,GP NamZ#2006,eu, Vandal ,"13,119",37.70%
2104,GP NamZ#2006,eu, Phantom ,"5,215",31.60%
2105,GP NamZ#2006,eu, Spectre ,"1,856",24.20%
2106,zeek#xdd,eu, Vandal ,"11,962",35.10%
2107,zeek#xdd,eu, Phantom ,"5,027",31.00%
2108,zeek#xdd,eu, Operator ,"1,923",7.10%
2109,zei#kosha,eu, Vandal ,"21,273",33.80%
2110,zei#kosha,eu, Phantom ,"2,703",27.80%
2111,zei#kosha,eu, Operator ,"2,313",6.40%
2112,carryS#IWNL,eu, Vandal ,"8,228",29.60%
2113,carryS#IWNL,eu, Phantom ,"1,891",28.30%
2114,carryS#IWNL,eu, Ghost ,"1,242",29.30%
2115,ElysiumXYZ#Kaya,eu, Vandal ,"31,836",40.30%
2116,ElysiumXYZ#Kaya,eu, Phantom ,"13,942",36.80%
2117,ElysiumXYZ#Kaya,eu, Spectre ,"4,557",28.30%
2118,Jaf#H2O,eu, Vandal ,"18,051",46.50%
2119,Jaf#H2O,eu, Phantom ,"11,465",38.90%
2120,Jaf#H2O,eu, Spectre ,"3,435",30.50%
2121,hownNnN#734,eu, Vandal ,"16,140",39.00%
2122,hownNnN#734,eu, Phantom ,"4,887",34.80%
2123,hownNnN#734,eu, Sheriff ,"2,611",61.90%
2124,meloware#yujin,eu, Vandal ,"7,887",34.80%
2125,meloware#yujin,eu, Phantom ,"4,917",31.80%
2126,meloware#yujin,eu, Spectre ,"1,373",25.50%
2127,verkozz#6674,eu, Vandal ,"13,649",42.90%
2128,verkozz#6674,eu, Phantom ,"3,365",37.50%
2129,verkozz#6674,eu, Sheriff ,"2,196",57.80%
2130,Gunners#DNK,eu, Vandal ,"21,472",37.40%
2131,Gunners#DNK,eu, Phantom ,"4,277",30.60%
2132,Gunners#DNK,eu, Spectre ,"3,079",26.80%
2133,Saiz#POG,eu, Vandal ,"26,481",49.00%
2134,Saiz#POG,eu, Phantom ,"8,515",38.10%
2135,Saiz#POG,eu, Ghost ,"3,782",48.20%
2136,KiN#SYR,eu, Vandal ,"12,013",42.70%
2137,KiN#SYR,eu, Phantom ,"2,216",33.60%
2138,KiN#SYR,eu, Ghost ,"1,599",42.10%
2139,kubib0b#Teâlâ,eu, Vandal ,"28,482",47.20%
2140,kubib0b#Teâlâ,eu, Ghost ,"3,732",53.40%
2141,kubib0b#Teâlâ,eu, Sheriff ,"2,480",63.20%
2142,BULD#9015,eu, Vandal ,"18,677",35.50%
2143,BULD#9015,eu, Phantom ,"13,035",33.50%
2144,BULD#9015,eu, Ghost ,"3,152",39.00%
2145,demek#7247,eu, Vandal ,"35,318",47.50%
2146,demek#7247,eu, Phantom ,"11,829",40.70%
2147,demek#7247,eu, Operator ,"6,701",7.50%
2148,konoha#saske,eu, Vandal ,"23,705",43.10%
2149,konoha#saske,eu, Phantom ,"8,368",36.40%
2150,konoha#saske,eu, Spectre ,"2,738",31.10%
2151,TheCady#1111,eu, Vandal ,"28,406",40.30%
2152,TheCady#1111,eu, Operator ,"7,412",9.70%
2153,TheCady#1111,eu, Sheriff ,"5,055",56.80%
2154,embols#xanax,eu, Vandal ,"15,610",36.20%
2155,embols#xanax,eu, Operator ,"6,203",7.20%
2156,embols#xanax,eu, Sheriff ,"2,615",45.50%
2157,OF Vuubit#777,eu, Vandal ,"26,487",50.10%
2158,OF Vuubit#777,eu, Phantom ,"10,135",44.90%
2159,OF Vuubit#777,eu, Sheriff ,"4,906",64.00%
2160,RamsZZ#Akaa,eu, Vandal ,"35,723",38.50%
2161,RamsZZ#Akaa,eu, Phantom ,"9,624",34.00%
2162,RamsZZ#Akaa,eu, Sheriff ,"5,212",52.90%
2163,RHM#Derp,eu, Vandal ,"9,437",36.30%
2164,RHM#Derp,eu, Phantom ,"6,412",32.10%
2165,RHM#Derp,eu, Operator ,"3,137",9.60%
2166,cspg fiftycal#idc,eu, Phantom ,"1,536",27.10%
2167,cspg fiftycal#idc,eu, Vandal ,670,35.10%
2168,cspg fiftycal#idc,eu, Odin ,329,10.10%
2169,Pablo El Saurio#meow,eu, Vandal ,"30,041",35.30%
2170,Pablo El Saurio#meow,eu, Phantom ,"7,986",30.10%
2171,Pablo El Saurio#meow,eu, Spectre ,"4,279",23.80%
2172,Kermm#zzz,eu, Vandal ,"27,683",40.40%
2173,Kermm#zzz,eu, Phantom ,"7,425",36.10%
2174,Kermm#zzz,eu, Sheriff ,"3,936",48.30%
2175,NASR avez#GOSU,eu, Vandal ,"47,314",47.10%
2176,NASR avez#GOSU,eu, Phantom ,"10,807",38.60%
2177,NASR avez#GOSU,eu, Ghost ,"6,199",48.80%
2178,rYn#5751,eu, Vandal ,"28,433",36.40%
2179,rYn#5751,eu, Phantom ,"8,445",30.70%
2180,rYn#5751,eu, Ghost ,"3,822",43.20%
2181,aNguiNi#spork,eu, Vandal ,"24,415",49.70%
2182,aNguiNi#spork,eu, Phantom ,"5,440",39.50%
2183,aNguiNi#spork,eu, Ghost ,"3,172",47.60%
2184,XOXO deminatiX기젬#2904,eu, Vandal ,"2,692",38.50%
2185,XOXO deminatiX기젬#2904,eu, Phantom ,"1,786",37.60%
2186,XOXO deminatiX기젬#2904,eu, Operator ,758,8.50%
2187,kabzi#pogo,eu, Vandal ,"34,658",37.10%
2188,kabzi#pogo,eu, Phantom ,"5,893",34.10%
2189,kabzi#pogo,eu, Operator ,"4,786",10.20%
2190,1V9 МАЗЕРАТИPEEK#decoN,eu, Vandal ,"35,159",48.20%
2191,1V9 МАЗЕРАТИPEEK#decoN,eu, Phantom ,"5,880",40.30%
2192,1V9 МАЗЕРАТИPEEK#decoN,eu, Ghost ,"3,742",46.80%
2193,EX0 NASK#4750,eu, Vandal ,"31,475",40.80%
2194,EX0 NASK#4750,eu, Phantom ,"10,739",36.10%
2195,EX0 NASK#4750,eu, Ghost ,"5,239",41.60%
2196,WYLDE hiro#LLJ,eu, Vandal ,"16,817",43.70%
2197,WYLDE hiro#LLJ,eu, Phantom ,"3,175",38.00%
2198,WYLDE hiro#LLJ,eu, Ghost ,"1,749",42.50%
2199,WaddlesThePig#Trxpp,eu, Vandal ,"29,242",31.60%
2200,WaddlesThePig#Trxpp,eu, Phantom ,"7,800",28.60%
2201,WaddlesThePig#Trxpp,eu, Sheriff ,"3,322",47.70%
2202,cocoon#vEBLO,eu, Vandal ,"22,767",29.20%
2203,cocoon#vEBLO,eu, Phantom ,"3,629",26.90%
2204,cocoon#vEBLO,eu, Spectre ,"2,530",23.40%
2205,UOL Unfair#1337,eu, Vandal ,"33,231",35.40%
2206,UOL Unfair#1337,eu, Phantom ,"8,558",28.70%
2207,UOL Unfair#1337,eu, Sheriff ,"3,876",50.60%
2208,Pax#jett,eu, Vandal ,"25,138",47.90%
2209,Pax#jett,eu, Phantom ,"4,351",39.40%
2210,Pax#jett,eu, Sheriff ,"4,287",50.40%
2211,SUP Izzy#Lyda,eu, Vandal ,"14,021",38.60%
2212,SUP Izzy#Lyda,eu, Operator ,"5,822",9.00%
2213,SUP Izzy#Lyda,eu, Phantom ,"1,740",34.80%
2214,UOL Luc1d#999,eu, Vandal ,"18,800",48.60%
2215,UOL Luc1d#999,eu, Phantom ,"5,315",41.10%
2216,UOL Luc1d#999,eu, Sheriff ,"2,811",55.80%
2217,NAVI miw#miyo,eu, Vandal ,"24,360",35.10%
2218,NAVI miw#miyo,eu, Phantom ,"8,382",29.00%
2219,NAVI miw#miyo,eu, Spectre ,"3,582",22.30%
2220,QLASH soRa#RNG,eu, Vandal ,"17,037",34.10%
2221,QLASH soRa#RNG,eu, Operator ,"5,062",9.50%
2222,QLASH soRa#RNG,eu, Phantom ,"4,784",26.60%
2223,BISHΘP#TCHNK,eu, Vandal ,"36,064",35.70%
2224,BISHΘP#TCHNK,eu, Phantom ,"13,666",31.10%
2225,BISHΘP#TCHNK,eu, Sheriff ,"5,720",53.50%
2226,myoo#1337,eu, Vandal ,"13,633",37.40%
2227,myoo#1337,eu, Phantom ,"3,751",33.90%
2228,myoo#1337,eu, Spectre ,"1,960",26.20%
2229,ComeBack#Aegon,eu, Vandal ,"25,910",39.40%
2230,ComeBack#Aegon,eu, Operator ,"16,769",8.50%
2231,ComeBack#Aegon,eu, Phantom ,"4,140",31.90%
2232,soora chie#667,eu, Vandal ,"25,935",50.30%
2233,soora chie#667,eu, Phantom ,"4,964",41.90%
2234,soora chie#667,eu, Sheriff ,"3,917",63.20%
2235,B8 Dawn#92i,eu, Vandal ,"20,200",42.30%
2236,B8 Dawn#92i,eu, Spectre ,"2,587",33.00%
2237,B8 Dawn#92i,eu, Phantom ,"2,548",40.10%
2238,rexon185785145#dogxd,eu, Vandal ,"17,073",36.70%
2239,rexon185785145#dogxd,eu, Phantom ,"9,929",31.30%
2240,rexon185785145#dogxd,eu, Sheriff ,"2,051",50.40%
2241,kicks#BONK,eu, Vandal ,"24,686",36.10%
2242,kicks#BONK,eu, Phantom ,"14,707",33.10%
2243,kicks#BONK,eu, Spectre ,"3,604",22.50%
2244,D  e  v  0#Paige,eu, Vandal ,"38,944",43.90%
2245,D  e  v  0#Paige,eu, Phantom ,"5,901",39.90%
2246,D  e  v  0#Paige,eu, Operator ,"4,817",8.00%
2247,suya#sss,eu, Vandal ,"44,525",48.50%
2248,suya#sss,eu, Phantom ,"11,100",41.70%
2249,suya#sss,eu, Operator ,"8,005",8.30%
2250,Lucas57#1tap,eu, Vandal ,"31,384",35.50%
2251,Lucas57#1tap,eu, Phantom ,"10,663",30.90%
2252,Lucas57#1tap,eu, Spectre ,"6,189",25.40%
2253,jLâner#old,eu, Vandal ,"3,879",39.90%
2254,jLâner#old,eu, Phantom ,"1,883",36.30%
2255,jLâner#old,eu, Ghost ,792,42.90%
2256,Gucio#1111,eu, Vandal ,"24,269",29.10%
2257,Gucio#1111,eu, Operator ,"3,285",7.90%
2258,Gucio#1111,eu, Ghost ,"2,469",34.00%
2259,RequesT#Baron,eu, Vandal ,"21,891",39.00%
2260,RequesT#Baron,eu, Operator ,"4,408",10.30%
2261,RequesT#Baron,eu, Phantom ,"4,125",36.30%
2262,fundA#1337,eu, Vandal ,"17,684",43.00%
2263,fundA#1337,eu, Phantom ,"7,276",39.00%
2264,fundA#1337,eu, Ghost ,"2,516",42.70%
2265,tchoupixD#TORPI,eu, Vandal ,"8,568",32.70%
2266,tchoupixD#TORPI,eu, Phantom ,"5,188",27.80%
2267,tchoupixD#TORPI,eu, Spectre ,"2,508",21.00%
2268,ANM SaroX#000,eu, Vandal ,"27,120",33.40%
2269,ANM SaroX#000,eu, Ghost ,"3,614",38.70%
2270,ANM SaroX#000,eu, Phantom ,"3,207",28.60%
2271,DON Grmekista#mafia,eu, Vandal ,"30,690",31.80%
2272,DON Grmekista#mafia,eu, Phantom ,"9,130",26.10%
2273,DON Grmekista#mafia,eu, Ghost ,"5,433",35.10%
2274,LOUR BeX#0004,eu, Vandal ,"37,647",48.50%
2275,LOUR BeX#0004,eu, Phantom ,"12,961",40.80%
2276,LOUR BeX#0004,eu, Operator ,"8,430",6.70%
2277,Daveeski#TTV,eu, Vandal ,"25,716",32.20%
2278,Daveeski#TTV,eu, Phantom ,"5,858",28.10%
2279,Daveeski#TTV,eu, Ghost ,"4,405",42.70%
2280,мистер строгий#vEBLO,eu, Vandal ,"16,913",31.60%
2281,мистер строгий#vEBLO,eu, Phantom ,"13,610",29.20%
2282,мистер строгий#vEBLO,eu, Ghost ,"3,381",37.20%
2283,V9 Yannu#SNACK,eu, Vandal ,"28,348",41.20%
2284,V9 Yannu#SNACK,eu, Phantom ,"4,516",35.00%
2285,V9 Yannu#SNACK,eu, Ghost ,"3,795",47.00%
2286,JABLKO#1,eu, Vandal ,"35,363",26.90%
2287,JABLKO#1,eu, Spectre ,"6,875",21.50%
2288,JABLKO#1,eu, Ghost ,"3,715",31.90%
2289,XOXO nichirin 右#boom,eu, Vandal ,"34,085",42.10%
2290,XOXO nichirin 右#boom,eu, Phantom ,"4,800",37.30%
2291,XOXO nichirin 右#boom,eu, Ghost ,"4,525",47.20%
2292,Mr TOP 1#IRON,eu, Vandal ,"7,294",43.50%
2293,Mr TOP 1#IRON,eu, Phantom ,"1,964",38.80%
2294,Mr TOP 1#IRON,eu, Ghost ,"1,050",48.80%
2295,lovers rockV2#pia7,eu, Vandal ,"3,280",50.70%
2296,lovers rockV2#pia7,eu, Operator ,849,6.30%
2297,lovers rockV2#pia7,eu, Ghost ,397,49.00%
2298,RYLOX#carry,eu, Vandal ,"26,005",37.60%
2299,RYLOX#carry,eu, Phantom ,"6,557",35.80%
2300,RYLOX#carry,eu, Operator ,"3,839",11.50%
2301,k1Ng#20003,eu, Vandal ,"5,421",31.50%
2302,k1Ng#20003,eu, Phantom ,"1,311",30.50%
2303,k1Ng#20003,eu, Ghost ,837,38.60%
2304,icey#hell,eu, Vandal ,"24,395",40.10%
2305,icey#hell,eu, Sheriff ,"2,579",59.80%
2306,icey#hell,eu, Phantom ,"1,990",35.30%
2307,Alda#667,eu, Vandal ,"22,487",42.20%
2308,Alda#667,eu, Phantom ,"8,787",36.70%
2309,Alda#667,eu, Sheriff ,"4,051",60.40%
2310,Jaskier我#Sate,eu, Vandal ,"29,844",36.80%
2311,Jaskier我#Sate,eu, Operator ,"9,544",11.00%
2312,Jaskier我#Sate,eu, Sheriff ,"4,749",53.70%
2313,nyczu#00000,eu, Vandal ,"18,818",32.70%
2314,nyczu#00000,eu, Phantom ,"18,342",26.00%
2315,nyczu#00000,eu, Spectre ,"5,690",24.00%
2316,Sniper Biscuit#ezez,eu, Vandal ,"32,673",41.50%
2317,Sniper Biscuit#ezez,eu, Phantom ,"6,970",37.60%
2318,Sniper Biscuit#ezez,eu, Operator ,"5,353",7.80%
2319,Pingu#Pappa,eu, Vandal ,"11,044",32.80%
2320,Pingu#Pappa,eu, Phantom ,"2,329",26.40%
2321,Pingu#Pappa,eu, Spectre ,"1,780",23.10%
2322,KC sh1n#SZN,eu, Vandal ,"11,412",50.50%
2323,KC sh1n#SZN,eu, Phantom ,"3,759",39.90%
2324,KC sh1n#SZN,eu, Spectre ,"1,618",29.60%
2325,based erdogan#yup,eu, Vandal ,"4,778",30.40%
2326,based erdogan#yup,eu, Phantom ,"1,289",24.60%
2327,based erdogan#yup,eu, Sheriff ,"1,163",38.30%
2328,ERORE#l33t,eu, Vandal ,"15,998",28.20%
2329,ERORE#l33t,eu, Phantom ,"4,304",25.30%
2330,ERORE#l33t,eu, Classic ,"2,606",30.50%
2331,JL MARCTYLINH0#92000,eu, Vandal ,"14,897",31.90%
2332,JL MARCTYLINH0#92000,eu, Phantom ,"10,595",27.80%
2333,JL MARCTYLINH0#92000,eu, Sheriff ,"3,102",50.70%
2334,NN WeKeY#kitty,eu, Vandal ,"48,633",33.70%
2335,NN WeKeY#kitty,eu, Phantom ,"6,528",29.80%
2336,NN WeKeY#kitty,eu, Ghost ,"6,132",41.60%
2337,GNG zMART#ALG,eu, Vandal ,"31,444",39.30%
2338,GNG zMART#ALG,eu, Phantom ,"9,954",34.30%
2339,GNG zMART#ALG,eu, Ghost ,"4,242",43.80%
2340,chwepes#bulky,eu, Vandal ,"51,502",39.90%
2341,chwepes#bulky,eu, Phantom ,"14,107",33.40%
2342,chwepes#bulky,eu, Judge ,"7,336",13.90%
2343,Ktori#RANK1,eu, Vandal ,"10,899",45.70%
2344,Ktori#RANK1,eu, Phantom ,"2,195",43.80%
2345,Ktori#RANK1,eu, Ghost ,"1,586",49.20%
2346,AG Sevkaan#fer,eu, Vandal ,"19,878",36.80%
2347,AG Sevkaan#fer,eu, Phantom ,"9,061",34.10%
2348,AG Sevkaan#fer,eu, Spectre ,"3,542",26.20%
2349,arian#mooz,eu, Vandal ,"16,907",47.40%
2350,arian#mooz,eu, Phantom ,"3,306",42.80%
2351,arian#mooz,eu, Operator ,"2,054",8.50%
2352,FRL NamazoV#1111,eu, Vandal ,"37,181",55.40%
2353,FRL NamazoV#1111,eu, Sheriff ,"4,392",68.30%
2354,FRL NamazoV#1111,eu, Ghost ,"4,379",58.50%
2355,kUZUUR#exe,eu, Vandal ,"28,061",44.90%
2356,kUZUUR#exe,eu, Ghost ,"4,487",47.50%
2357,kUZUUR#exe,eu, Sheriff ,"4,042",59.50%
2358,Bemzy#TAP,eu, Vandal ,"13,246",32.50%
2359,Bemzy#TAP,eu, Phantom ,"6,793",28.90%
2360,Bemzy#TAP,eu, Ghost ,"2,139",37.90%
2361,emyranger#Xtier,eu, Vandal ,"38,648",45.60%
2362,emyranger#Xtier,eu, Spectre ,"6,185",33.80%
2363,emyranger#Xtier,eu, Phantom ,"5,628",39.10%
2364,BES spectra#99999,eu, Vandal ,"16,557",36.20%
2365,BES spectra#99999,eu, Phantom ,"7,756",33.00%
2366,BES spectra#99999,eu, Ghost ,"2,960",41.00%
2367,EASTWOLF#chef,eu, Vandal ,"26,414",28.70%
2368,EASTWOLF#chef,eu, Phantom ,"4,710",25.20%
2369,EASTWOLF#chef,eu, Sheriff ,"3,876",51.30%
2370,Lynix#2212,eu, Vandal ,"12,076",34.50%
2371,Lynix#2212,eu, Phantom ,"11,426",29.00%
2372,Lynix#2212,eu, Spectre ,"2,174",23.70%
2373,ヤ kiruu#FRA,eu, Vandal ,"18,672",37.90%
2374,ヤ kiruu#FRA,eu, Phantom ,"7,294",30.70%
2375,ヤ kiruu#FRA,eu, Sheriff ,"3,225",53.00%
2376,SoS Lar0k#eXe,eu, Vandal ,"21,824",38.40%
2377,SoS Lar0k#eXe,eu, Phantom ,"3,371",31.80%
2378,SoS Lar0k#eXe,eu, Operator ,"3,173",8.20%
2379,LFT Rayzon#RAZE,eu, Vandal ,"53,125",43.80%
2380,LFT Rayzon#RAZE,eu, Ghost ,"5,220",46.50%
2381,LFT Rayzon#RAZE,eu, Sheriff ,"4,793",56.20%
2382,MZP Cintyx#opp,eu, Vandal ,"28,005",37.20%
2383,MZP Cintyx#opp,eu, Phantom ,"10,633",31.30%
2384,MZP Cintyx#opp,eu, Spectre ,"5,597",26.10%
2385,Tuna#EGY,eu, Vandal ,"44,340",41.80%
2386,Tuna#EGY,eu, Phantom ,"5,266",37.50%
2387,Tuna#EGY,eu, Ghost ,"4,512",42.90%
2388,FOX Tiyosta#FOX,eu, Vandal ,"13,749",46.40%
2389,FOX Tiyosta#FOX,eu, Operator ,"1,805",9.40%
2390,FOX Tiyosta#FOX,eu, Sheriff ,"1,739",60.00%
2391,Rengoku Kyôjurô#feu,eu, Vandal ,"14,942",29.10%
2392,Rengoku Kyôjurô#feu,eu, Phantom ,"12,007",25.50%
2393,Rengoku Kyôjurô#feu,eu, Spectre ,"4,752",19.70%
2394,henn#1337,eu, Vandal ,"17,353",35.90%
2395,henn#1337,eu, Phantom ,"2,616",28.60%
2396,henn#1337,eu, Ghost ,"2,103",43.70%
2397,ranked enjoyer#andik,eu, Vandal ,"45,010",33.00%
2398,ranked enjoyer#andik,eu, Phantom ,"13,557",26.80%
2399,ranked enjoyer#andik,eu, Operator ,"7,592",9.40%
2400,B站 cxy0714#0714,ap, Vandal ,"37,929",38.50%
2401,B站 cxy0714#0714,ap, Ghost ,"5,617",42.70%
2402,B站 cxy0714#0714,ap, Phantom ,"5,226",32.80%
2403,PRX alecks#133,ap, Vandal ,"14,335",44.10%
2404,PRX alecks#133,ap, Operator ,"2,302",8.50%
